week,new_cases,total_cases,population,incidence_weekly,incidence_total,week_str,weekly_vaccinations,weekly_deaths,date,weekly_cases_per_100k,weekly_deaths_per_100k,weekly_vacc_per_100k,death_rate,cases_smooth,vacc_smooth,deaths_smooth
202147,536,8119,83995,638.13,9666.05,202147,112220,114,2021-11-22,638.133222215608,135.72236442645396,133603.19066611107,0.2126865671641791,1905.3333333333333,112220.0,114.0
202147,1288,27091,280245,459.6,9666.9,202147,112220,114,2021-11-22,459.59785187960534,40.67869185890917,40043.53333690164,0.08850931677018634,2212.6666666666665,112220.0,114.0
202147,1557,21800,163689,951.19,13317.94,202147,112220,114,2021-11-22,951.1940325861848,69.64426442827558,68556.83643983408,0.07321772639691715,1127.0,112220.0,114.0
202147,2804,33101,285964,980.54,11575.23,202147,112220,114,2021-11-22,980.5430054132688,39.86515785203732,39242.70187855814,0.04065620542082739,1883.0,112220.0,114.0
202147,941,38701,352181,267.19,10988.95,202147,112220,114,2021-11-22,267.19215403443116,32.36971897972917,31864.297051800066,0.12114771519659936,1767.3333333333333,112220.0,114.0
202147,309,5003,37047,834.08,13504.47,202147,112220,114,2021-11-22,834.075633654547,307.71722406672603,302912.5165330526,0.36893203883495146,1351.3333333333333,112220.0,114.0
202147,3605,106169,822968,438.05,12900.74,202147,112220,114,2021-11-22,438.0486240048216,13.852300453966619,13636.010148632755,0.03162274618585298,1618.3333333333333,112220.0,114.0
202147,1650,47574,353209,467.15,13469.08,202147,112220,114,2021-11-22,467.1455144121469,32.275508268475605,31771.55734989765,0.06909090909090909,1854.6666666666667,112220.0,114.0
202147,825,13251,129787,635.66,10209.81,202147,112220,114,2021-11-22,635.6568839714301,87.83622396696126,86464.74608396835,0.13818181818181818,2026.6666666666667,112220.0,114.0
202147,8274,167572,1564662,528.8,10709.79,202147,112220,114,2021-11-22,528.8043040605575,7.285918620123708,7172.156031142829,0.013778100072516316,3583.0,112220.0,114.0
202148,4441,74584,703086,631.64,10608.09,202148,109072,174,2021-11-29,631.6439240718774,24.748039357916383,15513.322694521012,0.039180364782706596,4513.333333333333,111170.66666666667,134.0
202148,174,2587,16360,1063.57,15812.96,202148,109072,174,2021-11-29,1063.5696821515892,1063.5696821515892,666699.2665036675,1.0,4296.333333333333,110121.33333333333,154.0
202148,662,7932,55585,1190.97,14270.04,202148,109072,174,2021-11-29,1190.9687865431322,313.0340919312764,196225.60043177116,0.2628398791540785,1759.0,109072.0,174.0
202148,7526,107848,1047473,718.49,10296.02,202148,109072,174,2021-11-29,718.4910732782611,16.61140669019631,10412.869830535012,0.0231198511825671,2787.3333333333335,109072.0,174.0
202148,2425,30791,292817,828.16,10515.44,202148,109072,174,2021-11-29,828.1622993200531,59.42277941512958,37249.203427396635,0.07175257731958763,3537.6666666666665,109072.0,174.0
202148,1598,22373,196036,815.16,11412.7,202148,109072,174,2021-11-29,815.1563998449265,88.75920749250137,55638.76022771328,0.10888610763454318,3849.6666666666665,109072.0,174.0
202148,415,5160,39055,1062.6,13212.14,202148,109072,174,2021-11-29,1062.6040199718345,445.52554090385354,279277.941364742,0.41927710843373495,1479.3333333333333,109072.0,174.0
202148,2171,43889,329809,658.26,13307.4,202148,109072,174,2021-11-29,658.2597806609281,52.75780830723237,33071.2624579681,0.08014739751266697,1394.6666666666667,109072.0,174.0
202148,4063,84485,509448,797.53,16583.64,202148,109072,174,2021-11-29,797.529875473061,34.154614406180805,21409.839669603178,0.0428254984001969,2216.3333333333335,109072.0,174.0
202148,382,5487,41190,927.41,13321.19,202148,109072,174,2021-11-29,927.409565428502,422.4326292789512,264802.13644088374,0.45549738219895286,2205.3333333333335,109072.0,174.0
202148,1729,24000,201376,858.59,11918.0,202148,109072,174,2021-11-29,858.5928809788654,86.40552995391705,54163.35610996345,0.1006362058993638,2058.0,109072.0,174.0
202148,766,10253,73798,1037.97,13893.33,202148,109072,174,2021-11-29,1037.9685086316701,235.7787473915282,147798.0433074067,0.22715404699738903,959.0,109072.0,174.0
